iter	Passed	Remaining
0	61	6068
1	116	5699
2	170	5502
3	224	5393
4	283	5382
5	337	5293
6	393	5227
7	438	5047
8	494	4995
9	547	4931
10	601	4870
11	651	4779
12	705	4718
13	752	4625
14	806	4569
15	862	4528
16	920	4493
17	972	4431
18	1023	4365
19	1077	4311
20	1130	4251
21	1180	4185
22	1232	4125
23	1284	4066
24	1337	4011
25	1390	3956
26	1440	3893
27	1495	3844
28	1548	3791
29	1597	3727
30	1649	3672
31	1699	3611
32	1755	3564
33	1797	3490
34	1852	3441
35	1908	3393
36	1971	3356
37	2019	3295
38	2071	3239
39	2120	3180
40	2171	3124
41	2223	3069
42	2274	3015
43	2327	2962
44	2382	2912
45	2441	2865
46	2494	2812
47	2543	2755
48	2595	2701
49	2644	2644
50	2695	2589
51	2744	2533
52	2796	2479
53	2849	2427
54	2905	2377
55	2955	2322
56	2991	2256
57	3045	2205
58	3094	2150
59	3128	2085
60	3182	2034
61	3235	1983
62	3290	1932
63	3338	1877
64	3392	1826
65	3443	1774
66	3495	1721
67	3548	1669
68	3571	1604
69	3619	1551
70	3666	1497
71	3717	1445
72	3765	1392
73	3821	1342
74	3875	1291
75	3920	1238
76	3964	1184
77	4009	1130
78	4051	1076
79	4098	1024
80	4148	973
81	4197	921
82	4246	869
83	4297	818
84	4346	767
85	4388	714
86	4430	662
87	4475	610
88	4517	558
89	4564	507
90	4614	456
91	4666	405
92	4717	355
93	4769	304
94	4820	253
95	4879	203
96	4932	152
97	4985	101
98	5042	50
99	5094	0
